Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
SEA,SMF,"Seattle, WA","Sacramento, CA",1458,3024,28,605,1993-08-01,5432136,1598111,47.4490013122559,-122.30899810791,38.6954002380371,-121.591003417969
IAH,SAT,"Houston, TX","San Antonio, TX",895,2600,20,191,1993-02-01,4058868,1494302,29.9843997955322,-95.3414001464844,29.5337009429932,-98.4698028564453
DFW,ORD,"Dallas, TX","Chicago, IL",2477,4887,26,802,1999-11-01,9703564,17655010,32.896800994873,-97.0380020141602,41.97859955,-87.90480042
FLL,CVG,"Fort Lauderdale, FL","Cincinnati, OH",2594,5589,31,932,1996-01-01,4543436,1948312,26.0725994110107,-80.152702331543,39.0488014221,-84.6678009033
IND,STL,"Indianapolis, IN","St. Louis, MO",232,488,4,229,1998-12-01,1438091,2655631,39.7173,-86.294403,38.7486991882324,-90.370002746582
LAX,PHX,"Los Angeles, CA","Phoenix, AZ",3442,4758,39,370,1998-04-01,23895178,2930726,33.94250107,-118.4079971,33.4342994689941,-112.012001037598
MSY,HOU,"New Orleans, LA","Houston, TX",561,976,8,303,2004-03-01,1314721,5190444,29.9934005737305,-90.2580032348633,29.64539909,-95.27890015
JAX,HOU,"Jacksonville, FL","Houston, TX",1367,1507,11,816,2006-07-01,1279132,5484883,30.4941005706787,-81.6878967285156,29.64539909,-95.27890015
LIT,MEM,"Little Rock, AR","Memphis, TN",1383,5782,59,130,1992-04-01,547187,1090672,34.7294006348,-92.2242965698,35.0424003601074,-89.9766998291016
MSY,ORD,"New Orleans, LA","Chicago, IL",306,364,2,837,2009-12-01,1189981,19161134,29.9934005737305,-90.2580032348633,41.97859955,-87.90480042
PVD,PWM,"Providence, RI","Portland, ME",12,108,1,144,1995-02-01,1501636,451241,41.7326011657715,-71.4204025268555,43.64619827,-70.30930328
MKE,MCI,"Milwaukee, WI","Kansas City, MO",1333,2350,19,436,1994-12-01,1459322,1714344,42.9472007751465,-87.896598815918,39.2976,-94.713898
MEM,CWA,"Memphis, TN","Wausau, WI",0,0,40,672,2006-06-01,1280666,128834,35.0424003601074,-89.9766998291016,44.7775993347,-89.6668014526
DAY,ORD,"Dayton, OH","Chicago, IL",0,0,1,240,2004-03-01,845594,18664180,39.902400970459,-84.2193984985352,41.97859955,-87.90480042
MEM,XNA,"Memphis, TN","Fayetteville, AR",26,34,1,258,2005-09-01,1261429,413777,35.0424003601074,-89.9766998291016,36.281898,-94.306801
CVG,CLT,"Cincinnati, OH","Charlotte, NC",3134,3840,120,335,2003-06-01,2066256,1436890,39.0488014221,-84.6678009033,35.2140007019043,-80.9430999755859
IND,BWI,"Indianapolis, IN","Baltimore, MD",2498,4795,35,515,2002-10-01,1578239,2600580,39.7173,-86.294403,39.17539978,-76.66829681
ATL,CLT,"Atlanta, GA","Charlotte, NC",43,50,1,227,2007-05-01,5267527,1650974,33.6366996765137,-84.4281005859375,35.2140007019043,-80.9430999755859
ANC,JFK,"Anchorage, AK","New York, NY",0,0,38,3386,2003-07-01,339131,37342640,61.1744003295898,-149.996002197266,40.63980103,-73.77890015
BOS,SAN,"Boston, MA","San Diego, CA",3471,4020,30,2588,2003-07-01,8916374,2926814,42.36429977,-71.00520325,32.7336006165,-117.190002441
BWI,BOS,"Baltimore, MD","Boston, MA",670,1210,11,370,1993-07-01,2440119,8260582,39.17539978,-76.66829681,42.36429977,-71.00520325
DTW,RDU,"Detroit, MI","Raleigh, NC",110,110,1,501,2004-04-01,8996622,916790,42.2123985290527,-83.353401184082,35.8776016235352,-78.7874984741211
SMF,SEA,"Sacramento, CA","Seattle, WA",1379,4410,30,605,1994-10-01,1609032,5485752,38.6954002380371,-121.591003417969,47.4490013122559,-122.30899810791
YIP,DAL,"Detroit, MI","Dallas, TX",0,0,1,975,2007-09-01,8913164,12313304,42.23789978,-83.53040314,32.8470993041992,-96.8517990112305
ROC,ITH,"Rochester, NY","Ithaca, NY",0,0,3,75,2004-11-01,1038019,99747,43.1189002990723,-77.6724014282227,42.4910011291504,-76.4583969116211
ATL,CVG,"Atlanta, GA","Cincinnati, OH",121,128,1,373,2007-03-01,5267527,2148315,33.6366996765137,-84.4281005859375,39.0488014221,-84.6678009033
SFO,MSP,"San Francisco, CA","Minneapolis, MN",17848,29992,163,1589,1990-06-01,7436126,2548237,37.6189994812012,-122.375,44.8819999695,-93.2218017578
